"filename", "language", "JSON", "JavaScript", "Dotenv", "XML", "HTML", "Python", "JavaScript JSX", "PostCSS", "Markdown", "comment", "blank", "total"
"c:\Users\USER\Desktop\AgriNexus\client\src\contexts\AuthContext.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 55, 0, 0, 2, 12, 69
"c:\Users\USER\Desktop\AgriNexus\client\src\contexts\CartContext.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 99, 0, 0, 13, 20, 132
"c:\Users\USER\Desktop\AgriNexus\client\src\hooks\useToast.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 39, 0, 0, 5, 9, 53
"c:\Users\USER\Desktop\AgriNexus\client\src\index.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 126, 0, 17, 23, 166
"c:\Users\USER\Desktop\AgriNexus\client\src\layouts\BuyerLayout.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 5, 25
"c:\Users\USER\Desktop\AgriNexus\client\src\layouts\FarmerLayout.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 15, 32
"c:\Users\USER\Desktop\AgriNexus\client\src\layouts\LogisticsAdminLayout.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 16, 33
"c:\Users\USER\Desktop\AgriNexus\client\src\layouts\LogisticsLayout.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 15, 32
"c:\Users\USER\Desktop\AgriNexus\client\src\main.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 2, 23
"c:\Users\USER\Desktop\AgriNexus\client\src\pages\NotFound.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 17, 40
"c:\Users\USER\Desktop\AgriNexus\client\src\pages\auth\Landing.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 109, 0, 0, 0, 8, 117
"c:\Users\USER\Desktop\AgriNexus\client\src\pages\auth\Login.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 96, 0, 0, 0, 15, 111
"c:\Users\USER\Desktop\AgriNexus\client\src\pages\auth\Register.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 137, 0, 0, 0, 17, 154
"c:\Users\USER\Desktop\AgriNexus\client\src\pages\auth\css\Auth.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 161, 0, 6, 28, 195
"c:\Users\USER\Desktop\AgriNexus\client\src\pages\auth\css\Landing.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 241, 0, 9, 40, 290
"c:\Users\USER\Desktop\AgriNexus\client\src\pages\buyer\BuyerDashboard.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 107, 0, 0, 0, 10, 117
"c:\Users\USER\Desktop\AgriNexus\client\src\pages\buyer\CartOrders.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 198, 0, 0, 0, 16, 214
"c:\Users\USER\Desktop\AgriNexus\client\src\pages\buyer\MarketplaceHome.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 146, 0, 0, 0, 13, 159
"c:\Users\USER\Desktop\AgriNexus\client\src\pages\buyer\OrderDetail.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 367, 0, 0, 8, 45, 420
